propertyType,price,area,province,district,municipality,wardNo,bhk,furnished,parking,roadAccess,roomType,wifi,floorNumber,meetingRoom,propertyAgeYears,popularityScore
office,48534,1192.52,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,0,fully-furnished,True,25,,False,6,True,3,54.83
home,10376189,4835.27,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,4,2,fully-furnished,True,25,,False,2,False,25,63.22
home,33133707,3401.4,Bagmati,Lalitpur,Lalitpur Metropolitan City,3,5,unfurnished,False,13,,False,2,False,20,55.49
room,27660,217.79,Gandaki,Kaski,Pokhara Metropolitan City,26,2,semi-furnished,True,0,studio,True,1,False,17,49.64
room,12508,939.93,Gandaki,Kaski,Pokhara Metropolitan City,9,1,semi-furnished,False,10,studio,False,5,False,25,38.35
land,9951572,4706.55,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,20,0,,False,10,,False,0,False,0,30.75
land,13431932,3892.39,Bagmati,Chitwan,Bharatpur Metropolitan City,7,0,,False,13,,False,0,False,0,53.8
home,47562988,1655.11,Bagmati,Chitwan,Bharatpur Metropolitan City,22,3,unfurnished,False,13,,False,1,False,5,48.5
room,16573,103.19,Koshi,Jhapa,Birtamode Municipality,3,1,fully-furnished,False,20,2bhk,False,5,False,0,33.62
land,27777665,3046.04,Bagmati,Lalitpur,Lalitpur Metropolitan City,10,0,,False,20,,False,0,False,0,39.71
home,25686867,1335.27,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,3,fully-furnished,False,10,,False,2,False,6,52.62
office,51029,4651.09,Koshi,Morang,Biratnagar Metropolitan City,10,0,fully-furnished,True,16,,False,1,True,21,50.43
home,12254174,1468.63,Koshi,Jhapa,Birtamode Municipality,18,4,fully-furnished,False,10,,False,2,False,29,64.27
room,20656,300.63,Koshi,Morang,Biratnagar Metropolitan City,15,2,semi-furnished,False,0,shared,False,5,False,12,29.61
room,25118,203.81,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2,1,unfurnished,False,0,single,False,3,False,23,11.45
office,95574,2110.42,Koshi,Morang,Biratnagar Metropolitan City,8,0,fully-furnished,False,0,,False,7,True,33,32.35
home,49576236,2611.45,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,24,3,unfurnished,False,25,,False,1,False,19,42.41
room,27376,393.56,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,27,1,fully-furnished,False,16,2bhk,True,5,False,18,34.29
office,47549,1728.21,Bagmati,Chitwan,Bharatpur Metropolitan City,1,0,semi-furnished,False,16,,False,8,False,13,37.22
office,57196,3396.6,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,11,0,unfurnished,False,0,,False,4,False,14,35.57
home,36885860,994.1,Gandaki,Kaski,Pokhara Metropolitan City,2,5,fully-furnished,False,16,,False,2,False,24,75.02
office,110128,993.59,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,fully-furnished,True,30,,False,7,True,11,48.15
office,140254,2919.81,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,4,0,fully-furnished,False,10,,False,8,False,28,37.46
office,117472,4516.88,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,29,0,semi-furnished,False,13,,False,4,False,33,28.93
home,24174891,2647.46,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,2,semi-furnished,False,13,,False,1,False,8,53.37
home,19358134,3714.59,Bagmati,Bhaktapur,Bhaktapur Municipality,25,1,semi-furnished,False,13,,False,4,False,26,57.31
home,44196905,2435.8,Bagmati,Kathmandu,Kathmandu Metropolitan City,27,1,unfurnished,False,16,,False,1,False,22,64.54
office,116289,2829.64,Bagmati,Chitwan,Bharatpur Metropolitan City,27,0,unfurnished,True,16,,False,4,False,27,47.78
land,48576440,2145.36,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,25,0,,False,30,,False,0,False,0,52.89
home,46758957,4662.07,Koshi,Jhapa,Birtamode Municipality,30,5,fully-furnished,False,20,,False,1,False,5,68.3
home,22458794,1563.26,Koshi,Jhapa,Birtamode Municipality,30,4,semi-furnished,True,16,,False,3,False,21,65.06
room,13367,327.04,Koshi,Jhapa,Birtamode Municipality,27,2,fully-furnished,True,13,double,True,1,False,24,48.52
home,46697130,4324.76,Bagmati,Kathmandu,Kathmandu Metropolitan City,13,2,fully-furnished,True,16,,False,1,False,36,60.45
office,41992,3904.42,Gandaki,Kaski,Pokhara Metropolitan City,17,0,unfurnished,True,30,,False,3,False,6,55.31
room,20997,456.99,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,0,unfurnished,True,0,2bhk,False,5,False,25,19.22
land,47393945,2990.8,Bagmati,Lalitpur,Lalitpur Metropolitan City,23,0,,False,13,,False,0,False,0,42.92
room,40125,864.62,Bagmati,Lalitpur,Lalitpur Metropolitan City,1,0,semi-furnished,False,16,2bhk,True,4,False,5,60.97
room,46828,518.39,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,31,1,semi-furnished,True,0,shared,False,2,False,24,40.79
office,131536,434.89,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,22,0,semi-furnished,True,16,,False,4,False,16,44.83
room,41857,600.21,Koshi,Morang,Biratnagar Metropolitan City,18,1,fully-furnished,True,16,studio,True,4,False,20,59.62
office,49045,737.35,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,2,0,semi-furnished,True,13,,False,6,False,35,40.81
room,44070,996.97,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,1,semi-furnished,False,13,shared,False,2,False,3,38.65
room,20133,768.59,Gandaki,Kaski,Pokhara Metropolitan City,8,1,fully-furnished,False,13,2bhk,False,1,False,26,48.26
room,27809,424.79,Gandaki,Kaski,Pokhara Metropolitan City,15,0,unfurnished,True,13,single,True,5,False,9,55.44
office,95243,4401.78,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,semi-furnished,False,16,,False,8,False,11,42.21
room,12282,202.68,Bagmati,Kathmandu,Kathmandu Metropolitan City,31,2,semi-furnished,True,20,2bhk,True,2,False,4,66.07
land,30928965,1209.34,Bagmati,Chitwan,Bharatpur Metropolitan City,16,0,,False,20,,False,0,False,0,31.15
office,58974,4569.97,Gandaki,Kaski,Pokhara Metropolitan City,29,0,unfurnished,False,13,,False,1,True,13,49.43
room,19391,241.35,Gandaki,Kaski,Pokhara Metropolitan City,6,0,fully-furnished,True,16,studio,False,3,False,1,51.48
room,37755,732.69,Gandaki,Kaski,Pokhara Metropolitan City,19,0,unfurnished,True,13,2bhk,True,4,False,3,47.38
home,14545315,4615.33,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,1,fully-furnished,True,30,,False,3,False,38,60.67
office,59857,2502.88,Bagmati,Chitwan,Bharatpur Metropolitan City,8,0,unfurnished,False,13,,False,8,False,5,20.76
office,23390,3137.45,Bagmati,Kathmandu,Kathmandu Metropolitan City,21,0,fully-furnished,True,25,,False,1,False,36,53.46
home,34677512,2979.65,Bagmati,Kathmandu,Kathmandu Metropolitan City,31,3,fully-furnished,False,25,,False,4,False,5,85.11
room,14855,399.98,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,27,1,semi-furnished,False,16,shared,False,5,False,1,57.06
land,10779366,1785.32,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,21,0,,False,30,,False,0,False,0,54.61
land,15588451,2476.96,Koshi,Jhapa,Birtamode Municipality,30,0,,False,20,,False,0,False,0,42.26
office,46680,3871.96,Koshi,Morang,Biratnagar Metropolitan City,29,0,semi-furnished,True,13,,False,8,False,7,37.59
home,5917677,2105.15,Bagmati,Kathmandu,Kathmandu Metropolitan City,11,5,semi-furnished,True,10,,False,1,False,29,72.34
home,24586497,4717.14,Bagmati,Lalitpur,Lalitpur Metropolitan City,32,5,unfurnished,False,16,,False,4,False,30,61.04
office,140831,2102.85,Gandaki,Kaski,Pokhara Metropolitan City,10,0,unfurnished,True,30,,False,2,False,26,48.3
room,27566,354.56,Koshi,Morang,Biratnagar Metropolitan City,1,2,fully-furnished,False,20,studio,False,3,False,17,50.82
office,133980,4684.41,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,30,0,fully-furnished,True,20,,False,7,True,26,45.93
room,32984,734.71,Bagmati,Kathmandu,Kathmandu Metropolitan City,31,2,unfurnished,True,16,single,True,5,False,30,56.0
land,33663924,1128.76,Koshi,Morang,Biratnagar Metropolitan City,29,0,,False,0,,False,0,False,0,36.07
office,122436,651.69,Bagmati,Bhaktapur,Bhaktapur Municipality,10,0,semi-furnished,False,20,,False,7,True,21,43.49
office,136318,3245.96,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,21,0,semi-furnished,True,20,,False,2,True,40,38.82
home,11606406,2622.68,Bagmati,Chitwan,Bharatpur Metropolitan City,6,1,semi-furnished,True,25,,False,3,False,1,57.97
room,32565,364.03,Bagmati,Kathmandu,Kathmandu Metropolitan City,4,2,fully-furnished,True,20,studio,True,2,False,5,67.68
office,96435,2639.04,Bagmati,Lalitpur,Lalitpur Metropolitan City,16,0,fully-furnished,True,16,,False,5,False,16,58.43
office,40706,3484.77,Bagmati,Kathmandu,Kathmandu Metropolitan City,19,0,fully-furnished,False,13,,False,5,False,16,51.4
room,39667,999.44,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,0,fully-furnished,False,20,shared,False,3,False,0,56.4
room,11214,609.34,Koshi,Jhapa,Birtamode Municipality,1,2,semi-furnished,True,20,shared,True,2,False,19,33.52
home,48375184,4594.3,Bagmati,Chitwan,Bharatpur Metropolitan City,7,1,semi-furnished,False,0,,False,3,False,8,45.72
room,19510,772.73,Bagmati,Lalitpur,Lalitpur Metropolitan City,21,1,fully-furnished,False,20,1bhk,False,2,False,8,54.74
room,38692,823.81,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,22,0,fully-furnished,True,16,1bhk,False,1,False,25,38.94
land,33520173,3007.26,Koshi,Jhapa,Birtamode Municipality,17,0,,False,13,,False,0,False,0,44.22
office,50647,809.23,Bagmati,Chitwan,Bharatpur Metropolitan City,24,0,semi-furnished,True,20,,False,6,True,4,58.12
room,10971,205.01,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,27,0,semi-furnished,False,0,single,True,5,False,4,43.3
office,117404,3451.29,Koshi,Jhapa,Birtamode Municipality,24,0,unfurnished,False,20,,False,3,False,6,44.5
office,68566,453.77,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,0,fully-furnished,False,16,,False,4,False,6,53.83
room,20439,458.33,Koshi,Morang,Biratnagar Metropolitan City,4,0,semi-furnished,True,10,2bhk,True,1,False,25,33.96
home,18771113,4105.31,Koshi,Morang,Biratnagar Metropolitan City,9,1,unfurnished,True,20,,False,2,False,14,37.84
home,14709845,1964.55,Koshi,Morang,Biratnagar Metropolitan City,1,2,unfurnished,False,30,,False,2,False,7,64.41
home,20967319,2304.62,Bagmati,Kathmandu,Kathmandu Metropolitan City,1,5,semi-furnished,True,10,,False,3,False,3,77.49
office,82422,3804.63,Bagmati,Bhaktapur,Bhaktapur Municipality,8,0,semi-furnished,False,20,,False,2,False,32,64.55
land,5090484,2669.58,Gandaki,Kaski,Pokhara Metropolitan City,20,0,,False,0,,False,0,False,0,41.62
office,84260,3524.66,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,28,0,unfurnished,False,0,,False,2,False,38,27.66
land,45485059,1882.57,Bagmati,Bhaktapur,Bhaktapur Municipality,9,0,,False,20,,False,0,False,0,56.06
room,42770,995.16,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,25,1,semi-furnished,False,0,2bhk,True,5,False,23,20.4
office,74239,4474.03,Gandaki,Kaski,Pokhara Metropolitan City,29,0,semi-furnished,False,16,,False,7,True,20,53.91
room,18003,436.87,Koshi,Jhapa,Birtamode Municipality,17,2,fully-furnished,True,0,single,False,1,False,23,39.83
home,42687426,3263.15,Koshi,Morang,Biratnagar Metropolitan City,4,5,semi-furnished,True,16,,False,3,False,27,70.43
room,45874,416.48,Bagmati,Kathmandu,Kathmandu Metropolitan City,20,1,fully-furnished,False,10,single,False,5,False,11,40.93
room,44763,826.5,Bagmati,Lalitpur,Lalitpur Metropolitan City,15,0,unfurnished,False,0,double,False,3,False,29,41.5
room,17388,263.27,Koshi,Morang,Biratnagar Metropolitan City,1,2,fully-furnished,True,0,single,True,4,False,13,26.11
room,29258,433.05,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,11,0,fully-furnished,True,10,1bhk,True,1,False,8,52.97
office,74287,3153.26,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,32,0,semi-furnished,True,30,,False,2,False,27,70.82
room,28212,574.24,Bagmati,Lalitpur,Lalitpur Metropolitan City,32,0,fully-furnished,False,20,single,True,2,False,9,48.49
home,13052013,2015.68,Gandaki,Kaski,Pokhara Metropolitan City,17,1,semi-furnished,False,10,,False,2,False,24,48.97
home,7838856,1102.72,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,23,4,fully-furnished,False,0,,False,3,False,36,50.88
office,73088,1660.72,Koshi,Jhapa,Birtamode Municipality,27,0,fully-furnished,False,10,,False,8,False,5,40.17
land,29873732,2573.41,Koshi,Jhapa,Birtamode Municipality,16,0,,False,20,,False,0,False,0,36.34
office,49041,3805.28,Bagmati,Lalitpur,Lalitpur Metropolitan City,20,0,semi-furnished,True,0,,False,2,True,22,42.27
home,22177736,1231.78,Koshi,Morang,Biratnagar Metropolitan City,16,2,fully-furnished,True,30,,False,1,False,11,65.99
office,135611,3501.33,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,29,0,unfurnished,False,30,,False,6,True,28,48.97
office,124376,3267.51,Bagmati,Lalitpur,Lalitpur Metropolitan City,29,0,semi-furnished,True,13,,False,2,False,29,38.13
land,22265413,2285.57,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,4,0,,False,0,,False,0,False,0,56.13
office,145073,3027.55,Bagmati,Lalitpur,Lalitpur Metropolitan City,30,0,unfurnished,True,16,,False,4,False,38,35.34
home,28047718,2692.2,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,4,1,unfurnished,True,0,,False,2,False,28,39.99
home,23984666,2365.98,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,24,4,semi-furnished,False,25,,False,1,False,40,68.31
land,48525267,1106.38,Koshi,Morang,Biratnagar Metropolitan City,22,0,,False,16,,False,0,False,0,40.5
room,46190,400.03,Bagmati,Chitwan,Bharatpur Metropolitan City,10,1,semi-furnished,False,16,double,True,3,False,17,44.33
room,42497,703.1,Koshi,Jhapa,Birtamode Municipality,9,0,unfurnished,False,20,shared,True,3,False,9,52.84
home,37633089,4780.21,Bagmati,Bhaktapur,Bhaktapur Municipality,22,2,fully-furnished,True,10,,False,1,False,18,47.2
land,44475389,4468.49,Bagmati,Lalitpur,Lalitpur Metropolitan City,22,0,,False,10,,False,0,False,0,51.62
home,46925623,1559.55,Koshi,Jhapa,Birtamode Municipality,11,2,unfurnished,False,0,,False,4,False,23,43.64
office,122734,3836.24,Gandaki,Kaski,Pokhara Metropolitan City,19,0,semi-furnished,True,20,,False,4,False,30,55.32
room,26466,515.51,Gandaki,Kaski,Pokhara Metropolitan City,29,2,unfurnished,False,10,double,True,3,False,1,37.92
room,41810,740.26,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,7,0,semi-furnished,True,10,shared,False,5,False,4,33.8
land,26460257,4211.82,Koshi,Jhapa,Birtamode Municipality,15,0,,False,0,,False,0,False,0,41.45
land,18822798,2858.63,Koshi,Jhapa,Birtamode Municipality,26,0,,False,16,,False,0,False,0,49.46
room,14493,125.37,Bagmati,Lalitpur,Lalitpur Metropolitan City,15,1,fully-furnished,True,0,shared,False,2,False,24,27.15
office,22490,4557.53,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,1,0,semi-furnished,True,30,,False,3,False,7,59.33
home,21001404,1311.76,Bagmati,Chitwan,Bharatpur Metropolitan City,20,4,unfurnished,False,0,,False,1,False,31,38.64
land,22546932,3789.74,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,16,0,,False,16,,False,0,False,0,47.21
room,20275,613.6,Bagmati,Kathmandu,Kathmandu Metropolitan City,16,0,unfurnished,False,0,1bhk,True,4,False,27,34.07
land,20022180,4918.47,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,25,0,,False,25,,False,0,False,0,47.24
room,49173,410.32,Bagmati,Kathmandu,Kathmandu Metropolitan City,5,0,unfurnished,False,10,single,False,5,False,10,53.63
office,126364,3269.16,Bagmati,Bhaktapur,Bhaktapur Municipality,31,0,fully-furnished,True,25,,False,8,True,18,61.72
land,24179276,4508.9,Gandaki,Kaski,Pokhara Metropolitan City,13,0,,False,13,,False,0,False,0,39.93
office,118735,1490.57,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,31,0,unfurnished,True,13,,False,6,True,21,43.14
land,29845006,2578.89,Bagmati,Chitwan,Bharatpur Metropolitan City,24,0,,False,25,,False,0,False,0,47.2
office,85038,4876.5,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,22,0,unfurnished,False,13,,False,5,True,27,41.79
office,62101,2863.73,Bagmati,Lalitpur,Lalitpur Metropolitan City,12,0,fully-furnished,True,13,,False,5,False,28,59.98
home,7842406,2276.5,Koshi,Jhapa,Birtamode Municipality,29,3,unfurnished,False,13,,False,1,False,4,47.05
room,17357,957.51,Koshi,Jhapa,Birtamode Municipality,11,2,fully-furnished,True,0,double,False,3,False,12,51.33
home,29965395,4785.06,Bagmati,Kathmandu,Kathmandu Metropolitan City,29,4,fully-furnished,True,20,,False,3,False,25,78.22
room,9698,964.47,Koshi,Morang,Biratnagar Metropolitan City,16,1,semi-furnished,False,20,single,False,3,False,22,48.78
home,37963887,3714.72,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,19,2,fully-furnished,True,30,,False,1,False,28,85.67
office,146820,4109.41,Bagmati,Bhaktapur,Bhaktapur Municipality,6,0,semi-furnished,False,25,,False,2,False,19,47.63
home,13144496,2936.77,Bagmati,Bhaktapur,Bhaktapur Municipality,24,2,fully-furnished,True,30,,False,4,False,1,76.17
room,44152,823.3,Koshi,Morang,Biratnagar Metropolitan City,30,1,unfurnished,True,0,shared,False,4,False,16,24.4
office,61553,889.04,Koshi,Jhapa,Birtamode Municipality,5,0,unfurnished,True,16,,False,8,False,8,31.41
home,8718693,2617.0,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,9,1,unfurnished,True,13,,False,2,False,10,49.57
home,39822641,4779.43,Koshi,Morang,Biratnagar Metropolitan City,23,3,fully-furnished,False,10,,False,3,False,8,66.43
land,41966527,3244.78,Bagmati,Chitwan,Bharatpur Metropolitan City,11,0,,False,10,,False,0,False,0,49.28
room,9859,842.71,Bagmati,Bhaktapur,Bhaktapur Municipality,3,0,fully-furnished,False,10,1bhk,False,5,False,20,48.05
office,59596,3316.96,Bagmati,Kathmandu,Kathmandu Metropolitan City,19,0,semi-furnished,True,30,,False,7,False,29,53.33
land,35497543,2590.3,Bagmati,Lalitpur,Lalitpur Metropolitan City,11,0,,False,16,,False,0,False,0,68.06
room,28926,381.32,Gandaki,Kaski,Pokhara Metropolitan City,10,1,semi-furnished,True,13,1bhk,True,3,False,7,48.2
land,12454138,2633.26,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,0,,False,0,,False,0,False,0,65.3
room,35402,877.75,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,1,fully-furnished,False,20,2bhk,False,2,False,24,60.44
office,60441,2644.17,Bagmati,Bhaktapur,Bhaktapur Municipality,30,0,semi-furnished,True,0,,False,7,False,15,29.24
room,40433,145.49,Gandaki,Kaski,Pokhara Metropolitan City,4,2,semi-furnished,True,0,studio,True,3,False,23,19.37
office,26705,512.64,Koshi,Morang,Biratnagar Metropolitan City,24,0,unfurnished,True,13,,False,5,True,24,39.83
office,101689,4178.96,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,18,0,unfurnished,True,10,,False,2,False,23,29.77
room,41365,279.15,Koshi,Morang,Biratnagar Metropolitan City,10,2,unfurnished,True,0,single,True,3,False,25,33.47
office,87568,3149.42,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,10,0,fully-furnished,False,20,,False,6,True,25,53.51
room,27647,737.87,Bagmati,Chitwan,Bharatpur Metropolitan City,32,2,fully-furnished,False,13,2bhk,True,4,False,18,49.55
land,46995965,1841.78,Bagmati,Chitwan,Bharatpur Metropolitan City,31,0,,False,30,,False,0,False,0,52.33
land,45213169,1433.2,Gandaki,Kaski,Pokhara Metropolitan City,31,0,,False,25,,False,0,False,0,47.73
home,12374963,932.6,Koshi,Jhapa,Birtamode Municipality,16,2,fully-furnished,False,13,,False,4,False,9,57.97
home,46035597,2907.64,Koshi,Jhapa,Birtamode Municipality,27,4,unfurnished,True,25,,False,2,False,33,65.84
room,28562,572.93,Gandaki,Kaski,Pokhara Metropolitan City,31,1,semi-furnished,False,20,shared,False,5,False,15,48.33
home,20090571,3143.96,Gandaki,Kaski,Pokhara Metropolitan City,18,3,semi-furnished,True,25,,False,4,False,20,58.95
room,45583,359.01,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,2,semi-furnished,False,10,shared,True,3,False,30,38.7
room,39396,690.37,Bagmati,Lalitpur,Lalitpur Metropolitan City,29,1,fully-furnished,False,20,2bhk,False,2,False,3,64.34
home,40637591,3613.3,Gandaki,Kaski,Pokhara Metropolitan City,4,2,unfurnished,True,0,,False,1,False,26,38.53
office,38018,3501.6,Koshi,Morang,Biratnagar Metropolitan City,7,0,fully-furnished,True,16,,False,8,False,12,48.15
room,13862,681.31,Bagmati,Chitwan,Bharatpur Metropolitan City,19,1,unfurnished,True,10,studio,True,1,False,26,35.16
office,146108,4702.06,Koshi,Jhapa,Birtamode Municipality,12,0,semi-furnished,True,0,,False,5,True,21,23.75
office,37589,4479.52,Bagmati,Chitwan,Bharatpur Metropolitan City,32,0,unfurnished,False,13,,False,4,True,21,39.37
office,21846,3677.41,Bagmati,Bhaktapur,Bhaktapur Municipality,17,0,unfurnished,False,30,,False,5,True,11,55.56
office,107720,707.67,Koshi,Jhapa,Birtamode Municipality,21,0,fully-furnished,True,10,,False,8,False,15,51.69
room,25497,311.97,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,1,semi-furnished,True,13,2bhk,False,2,False,1,60.25
office,109925,1050.67,Bagmati,Lalitpur,Lalitpur Metropolitan City,20,0,unfurnished,False,25,,False,2,False,23,36.68
home,35533101,2808.36,Gandaki,Kaski,Pokhara Metropolitan City,9,5,semi-furnished,False,25,,False,4,False,34,60.32
home,40445098,3007.13,Gandaki,Kaski,Pokhara Metropolitan City,6,3,fully-furnished,True,0,,False,2,False,36,62.08
home,39919529,2178.09,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,11,4,fully-furnished,True,25,,False,4,False,5,82.2
office,87272,2431.13,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,4,0,semi-furnished,False,20,,False,1,False,19,45.01
office,117754,4137.33,Bagmati,Kathmandu,Kathmandu Metropolitan City,17,0,fully-furnished,True,0,,False,7,False,4,84.28
land,34680162,4940.39,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,5,0,,False,0,,False,0,False,0,40.73
office,120378,3914.17,Bagmati,Chitwan,Bharatpur Metropolitan City,12,0,unfurnished,False,13,,False,7,False,24,40.86
land,26338442,3510.2,Koshi,Jhapa,Birtamode Municipality,9,0,,False,0,,False,0,False,0,46.0
office,49188,3720.93,Bagmati,Bhaktapur,Bhaktapur Municipality,9,0,fully-furnished,True,13,,False,8,False,34,47.42
home,15410019,2734.63,Koshi,Jhapa,Birtamode Municipality,16,3,fully-furnished,True,0,,False,4,False,39,47.2
home,44858917,1082.62,Bagmati,Kathmandu,Kathmandu Metropolitan City,14,1,semi-furnished,True,10,,False,1,False,25,65.87
home,8787895,3968.42,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,14,2,unfurnished,False,10,,False,3,False,36,36.87
